Item 1, 5, 2,  Aisle 3,  Costco, Pantry
Item 2, 9, 11,  Aisle 3,  ABC, Dairy
Item 3, 7, 4,  Aisle 3,  Other, Fruits
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 5, 2, 8,  Aisle 3,  dsada, Drinks
Item 6, 2, 8,  Aisle 3,  dsada, Drinks
Item 7, 2, 8,  Aisle 3,  dsada, Drinks
Item 8, 2, 8,  Aisle 3,  dsada, Drinks
Item 9, 2, 8,  Aisle 3,  dsada, Drinks
Item 10, 2, 8,  Aisle 3,  dsada, Drinks
Item 11, 2, 8,  Aisle 3,  dsada, Drinks
Item 12, 2, 8,  Aisle 3,  dsada, Drinks
Item 13, 2, 8,  Aisle 3,  dsada, Drinks
Item 14, 2, 8,  Aisle 3,  dsada, Drinks
Item 15, 2, 8,  Aisle 3,  dsada, Drinks
Item 16, 2, 8,  Aisle 3,  dsada, Drinks
Item 17, 2, 8,  Aisle 3,  dsada, Drinks
Item 18, 2, 8,  Aisle 3,  dsada, Drinks
Item 19, 2, 8,  Aisle 3,  dsada, Drinks
Item 20, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
Item 4, 2, 8,  Aisle 3,  dsada, Drinks
